 ================================================================================
                               TOYGENERATOR HISTOGRAMS                                       
 ================================================================================
 
   ISR generation using seed = 5235 at center of mass energy = 1.00 GeV
 
 
 ****************************************************************
 
 p modulus mu-
      binlow         binhigh         content           error
     154.800         156.600           0.037           0.004
     156.600         158.400           0.032           0.004
     158.400         160.200           0.043           0.004
     160.200         162.000           0.035           0.004
     162.000         163.800           0.037           0.004
     163.800         165.600           0.040           0.004
     165.600         167.400           0.037           0.004
     167.400         169.200           0.033           0.004
     169.200         171.000           0.026           0.003
     171.000         172.800           0.021           0.003
     172.800         174.600           0.018           0.003
     174.600         176.400           0.009           0.002
     176.400         178.200           0.006           0.002
     178.200         180.000           0.000           0.000
     180.000         180.000           0.000           0.000
 
 
 ****************************************************************
 
 p modulus mu+
      binlow         binhigh         content           error
       0.000           0.000           0.000           0.000
       0.000           0.005           0.000           0.000
       0.005           0.010           0.000           0.000
       0.010           0.015           0.000           0.000
       0.015           0.020           0.291           0.205
       0.020           0.024           0.000           0.000
       0.024           0.029           0.000           0.000
       0.029           0.034           0.000           0.000
       0.034           0.039           0.000           0.000
       0.039           0.044           0.000           0.000
       0.044           0.049           0.000           0.000
       0.049           0.054           0.436           0.252
       0.054           0.059           0.000           0.000
       0.059           0.064           0.291           0.205
       0.064           0.068           0.145           0.145
       0.068           0.073           0.581           0.291
       0.073           0.078           0.291           0.205
       0.078           0.083           0.145           0.145
       0.083           0.088           0.581           0.291
       0.088           0.093           1.307           0.436
       0.093           0.098           1.743           0.503
       0.098           0.103           1.888           0.524
       0.103           0.108           3.050           0.666
       0.108           0.112           3.341           0.697
       0.112           0.117           3.486           0.712
       0.117           0.122           3.341           0.697
       0.122           0.127           3.631           0.726
       0.127           0.132           4.212           0.782
       0.132           0.137           3.777           0.741
       0.137           0.142           4.503           0.809
       0.142           0.147           4.503           0.809
       0.147           0.151           3.777           0.741
       0.151           0.156           4.648           0.822
       0.156           0.161           5.374           0.884
       0.161           0.166           4.358           0.796
       0.166           0.171           5.084           0.859
       0.171           0.176           4.503           0.809
       0.176           0.181           5.665           0.907
       0.181           0.186           5.955           0.930
       0.186           0.191           6.391           0.964
       0.191           0.195           6.682           0.985
       0.195           0.200           4.793           0.834
       0.200           0.205           7.117           1.017
       0.205           0.210           5.810           0.919
       0.210           0.215           7.844           1.067
       0.215           0.220           5.520           0.895
       0.220           0.225           5.955           0.930
       0.225           0.230           6.972           1.006
       0.230           0.235           6.536           0.974
       0.235           0.239           7.698           1.057
       0.239           0.244           8.570           1.116
       0.244           0.249           7.698           1.057
       0.249           0.254           9.006           1.144
       0.254           0.259           5.955           0.930
       0.259           0.264           7.698           1.057
       0.264           0.269           7.408           1.037
       0.269           0.274           7.263           1.027
       0.274           0.279           7.844           1.067
       0.279           0.283           6.827           0.996
       0.283           0.288           7.263           1.027
       0.288           0.293           8.570           1.116
       0.293           0.298           7.989           1.077
       0.298           0.303           9.732           1.189
       0.303           0.308           9.151           1.153
       0.308           0.313           8.715           1.125
       0.313           0.318           8.860           1.134
       0.318           0.323           9.151           1.153
       0.323           0.327          10.749           1.250
       0.327           0.332          10.894           1.258
       0.332           0.337           7.989           1.077
       0.337           0.342           7.263           1.027
       0.342           0.347           9.296           1.162
       0.347           0.352          11.911           1.315
       0.352           0.357          10.894           1.258
       0.357           0.362           9.151           1.153
       0.362           0.367           7.844           1.067
       0.367           0.371          12.782           1.363
       0.371           0.376           9.296           1.162
       0.376           0.381           9.587           1.180
       0.381           0.386           6.246           0.952
       0.386           0.391           6.246           0.952
       0.391           0.396           6.101           0.941
       0.396           0.401           4.939           0.847
       0.401           0.406           2.760           0.633
       0.406           0.411           1.743           0.503
       0.411           0.415           1.888           0.524
       0.415           0.420           0.872           0.356
       0.420           0.425           0.581           0.291
       0.425           0.430           0.581           0.291
       0.430           0.435           0.291           0.205
       0.435           0.440           0.436           0.252
       0.440           0.445           0.436           0.252
       0.445           0.450           0.291           0.205
       0.450           0.454           0.145           0.145
       0.454           0.459           0.000           0.000
       0.459           0.464           0.145           0.145
       0.464           0.469           0.000           0.000
       0.469           0.474           0.000           0.000
       0.474           0.479           0.000           0.000
       0.479           0.484           0.000           0.000
       0.484           0.489           0.000           0.000
       0.489           0.489           0.000           0.000
 
 
 ****************************************************************
 
 Energy mu+
      binlow         binhigh         content           error
       0.000           0.000           0.000           0.000
       0.000           0.005           0.000           0.000
       0.005           0.010           0.000           0.000
       0.010           0.015           0.000           0.000
       0.015           0.020           0.000           0.000
       0.020           0.025           0.000           0.000
       0.025           0.030           0.000           0.000
       0.030           0.035           0.000           0.000
       0.035           0.040           0.000           0.000
       0.040           0.045           0.000           0.000
       0.045           0.050           0.000           0.000
       0.050           0.055           0.000           0.000
       0.055           0.060           0.000           0.000
       0.060           0.065           0.000           0.000
       0.065           0.070           0.000           0.000
       0.070           0.075           0.000           0.000
       0.075           0.080           0.000           0.000
       0.080           0.085           0.000           0.000
       0.085           0.090           0.000           0.000
       0.090           0.095           0.000           0.000
       0.095           0.100           0.000           0.000
       0.100           0.105           0.000           0.000
       0.105           0.110           0.284           0.201
       0.110           0.115           0.000           0.000
       0.115           0.120           0.426           0.246
       0.120           0.125           0.284           0.201
       0.125           0.130           0.710           0.317
       0.130           0.135           0.568           0.284
       0.135           0.140           1.278           0.426
       0.140           0.145           2.414           0.585
       0.145           0.150           4.117           0.765
       0.150           0.155           4.685           0.816
       0.155           0.160           4.259           0.778
       0.160           0.165           4.827           0.828
       0.165           0.170           4.827           0.828
       0.170           0.175           5.537           0.887
       0.175           0.180           5.395           0.875
       0.180           0.185           5.111           0.852
       0.185           0.190           5.679           0.898
       0.190           0.195           6.389           0.952
       0.195           0.200           5.821           0.909
       0.200           0.205           4.969           0.840
       0.205           0.210           6.531           0.963
       0.210           0.215           6.673           0.973
       0.215           0.220           6.957           0.994
       0.220           0.225           7.525           1.034
       0.225           0.230           7.099           1.004
       0.230           0.235           6.389           0.952
       0.235           0.240           8.518           1.100
       0.240           0.245           6.105           0.931
       0.245           0.250           7.383           1.024
       0.250           0.255           7.951           1.062
       0.255           0.260           6.957           0.994
       0.260           0.265           9.512           1.162
       0.265           0.270           8.092           1.072
       0.270           0.275           9.796           1.179
       0.275           0.280           7.099           1.004
       0.280           0.285           7.525           1.034
       0.285           0.290           8.234           1.081
       0.290           0.295           8.376           1.091
       0.295           0.300           7.383           1.024
       0.300           0.305           8.518           1.100
       0.305           0.310           8.234           1.081
       0.310           0.315           8.376           1.091
       0.315           0.320           9.654           1.171
       0.320           0.325           9.654           1.171
       0.325           0.330           9.512           1.162
       0.330           0.335           8.944           1.127
       0.335           0.340          10.080           1.196
       0.340           0.345          12.494           1.332
       0.345           0.350           9.370           1.153
       0.350           0.355           8.944           1.127
       0.355           0.360           7.525           1.034
       0.360           0.365          11.784           1.293
       0.365           0.370          11.926           1.301
       0.370           0.375           9.796           1.179
       0.375           0.380           8.802           1.118
       0.380           0.385          10.932           1.246
       0.385           0.390          11.926           1.301
       0.390           0.395           8.944           1.127
       0.395           0.400           6.957           0.994
       0.400           0.405           6.531           0.963
       0.405           0.410           6.247           0.942
       0.410           0.415           4.685           0.816
       0.415           0.420           2.981           0.651
       0.420           0.425           2.130           0.550
       0.425           0.430           1.420           0.449
       0.430           0.435           0.710           0.317
       0.435           0.440           0.568           0.284
       0.440           0.445           0.426           0.246
       0.445           0.450           0.568           0.284
       0.450           0.455           0.426           0.246
       0.455           0.460           0.000           0.000
       0.460           0.465           0.426           0.246
       0.465           0.470           0.000           0.000
       0.470           0.475           0.000           0.000
       0.475           0.480           0.142           0.142
       0.480           0.485           0.000           0.000
       0.485           0.490           0.000           0.000
       0.490           0.495           0.000           0.000
       0.495           0.500           0.000           0.000
       0.500           0.500           0.000           0.000
 
 
 ****************************************************************
 
 Theta mu+
      binlow         binhigh         content           error
       0.000           0.000           0.000           0.000
       0.000           1.800           0.000           0.000
       1.800           3.600           0.000           0.000
       3.600           5.400           0.000           0.000
       5.400           7.200           0.000           0.000
       7.200           9.000           0.000           0.000
       9.000          10.800           0.000           0.000
      10.800          12.600           0.000           0.000
      12.600          14.400           0.000           0.000
      14.400          16.200           0.000           0.000
      16.200          18.000           0.000           0.000
      18.000          19.800           0.000           0.000
      19.800          21.600           0.000           0.000
      21.600          23.400           0.000           0.000
      23.400          25.200           0.000           0.000
      25.200          27.000           0.000           0.000
      27.000          28.800           0.000           0.000
      28.800          30.600           0.000           0.000
      30.600          32.400           0.000           0.000
      32.400          34.200           0.000           0.000
      34.200          36.000           0.000           0.000
      36.000          37.800           0.000           0.000
      37.800          39.600           0.000           0.000
      39.600          41.400           0.000           0.000
      41.400          43.200           0.000           0.000
      43.200          45.000           0.000           0.000
      45.000          46.800           0.000           0.000
      46.800          48.600           0.000           0.000
      48.600          50.400           0.000           0.000
      50.400          52.200           0.000           0.000
      52.200          54.000           0.000           0.000
      54.000          55.800           0.000           0.000
      55.800          57.600           0.000           0.000
      57.600          59.400           0.000           0.000
      59.400          61.200           0.000           0.000
      61.200          63.000           0.000           0.000
      63.000          64.800           0.000           0.000
      64.800          66.600           0.000           0.000
      66.600          68.400           0.000           0.000
      68.400          70.200           0.000           0.000
      70.200          72.000           0.000           0.000
      72.000          73.800           0.000           0.000
      73.800          75.600           0.000           0.000
      75.600          77.400           0.000           0.000
      77.400          79.200           0.000           0.000
      79.200          81.000           0.000           0.000
      81.000          82.800           0.000           0.000
      82.800          84.600           0.000           0.000
      84.600          86.400           0.000           0.000
      86.400          88.200           0.000           0.000
      88.200          90.000           0.000           0.000
      90.000          91.800           0.000           0.000
      91.800          93.600           0.000           0.000
      93.600          95.400           0.000           0.000
      95.400          97.200           0.000           0.000
      97.200          99.000           0.000           0.000
      99.000         100.800           0.016           0.003
     100.800         102.600           0.030           0.003
     102.600         104.400           0.031           0.003
     104.400         106.200           0.025           0.003
     106.200         108.000           0.029           0.003
     108.000         109.800           0.031           0.004
     109.800         111.600           0.023           0.003
     111.600         113.400           0.028           0.003
     113.400         115.200           0.027           0.003
     115.200         117.000           0.024           0.003
     117.000         118.800           0.021           0.003
     118.800         120.600           0.026           0.003
     120.600         122.400           0.024           0.003
     122.400         124.200           0.024           0.003
     124.200         126.000           0.027           0.003
     126.000         127.800           0.026           0.003
     127.800         129.600           0.022           0.003
     129.600         131.400           0.032           0.004
     131.400         133.200           0.029           0.003
     133.200         135.000           0.025           0.003
     135.000         136.800           0.030           0.003
     136.800         138.600           0.026           0.003
     138.600         140.400           0.027           0.003
     140.400         142.200           0.032           0.004
     142.200         144.000           0.028           0.003
     144.000         145.800           0.030           0.003
     145.800         147.600           0.027           0.003
     147.600         149.400           0.035           0.004
     149.400         151.200           0.030           0.003
     151.200         153.000           0.034           0.004
     153.000         154.800           0.032           0.004
     154.800         156.600           0.034           0.004
     156.600         158.400           0.041           0.004
     158.400         160.200           0.035           0.004
     160.200         162.000           0.037           0.004
     162.000         163.800           0.041           0.004
     163.800         165.600           0.030           0.003
     165.600         167.400           0.027           0.003
     167.400         169.200           0.030           0.003
     169.200         171.000           0.024           0.003
     171.000         172.800           0.019           0.003
     172.800         174.600           0.013           0.002
     174.600         176.400           0.010           0.002
     176.400         178.200           0.003           0.001
     178.200         180.000           0.001           0.001
     180.000         180.000           0.000           0.000
 
 
 ****************************************************************
 
 p modulus ISR gamma
      binlow         binhigh         content           error
       0.000           0.000           0.000           0.000
       0.000           0.010           0.000           0.000
       0.010           0.020           0.000           0.000
       0.020           0.030           0.000           0.000
       0.030           0.040           0.000           0.000
       0.040           0.050           0.000           0.000
       0.050           0.060           0.000           0.000
